"key_id","period","count_member_states","member_state","period_start_date","period_end_date","member_state_votes","total_votes","normalized_weight"
1,1,6,"France",1958-01-01,1973-01-01,4,17,0.2352941176
2,1,6,"Germany",1958-01-01,1973-01-01,4,17,0.2352941176
3,1,6,"Italy",1958-01-01,1973-01-01,4,17,0.2352941176
4,1,6,"Belgium",1958-01-01,1973-01-01,2,17,0.1176470588
5,1,6,"Netherlands",1958-01-01,1973-01-01,2,17,0.1176470588
6,1,6,"Luxembourg",1958-01-01,1973-01-01,1,17,0.0588235294
7,2,9,"France",1973-01-01,1981-01-01,10,58,0.1724137931
8,2,9,"Germany",1973-01-01,1981-01-01,10,58,0.1724137931
9,2,9,"Italy",1973-01-01,1981-01-01,10,58,0.1724137931
10,2,9,"United Kingdom",1973-01-01,1981-01-01,10,58,0.1724137931
11,2,9,"Belgium",1973-01-01,1981-01-01,5,58,0.0862068966
12,2,9,"Netherlands",1973-01-01,1981-01-01,5,58,0.0862068966
13,2,9,"Denmark",1973-01-01,1981-01-01,3,58,0.0517241379
14,2,9,"Ireland",1973-01-01,1981-01-01,3,58,0.0517241379
15,2,9,"Luxembourg",1973-01-01,1981-01-01,2,58,0.0344827586
16,3,10,"France",1981-01-01,1986-01-01,10,63,0.1587301587
17,3,10,"Germany",1981-01-01,1986-01-01,10,63,0.1587301587
18,3,10,"Italy",1981-01-01,1986-01-01,10,63,0.1587301587
19,3,10,"United Kingdom",1981-01-01,1986-01-01,10,63,0.1587301587
20,3,10,"Belgium",1981-01-01,1986-01-01,5,63,0.0793650794
21,3,10,"Greece",1981-01-01,1986-01-01,5,63,0.0793650794
22,3,10,"Netherlands",1981-01-01,1986-01-01,5,63,0.0793650794
23,3,10,"Denmark",1981-01-01,1986-01-01,3,63,0.0476190476
24,3,10,"Ireland",1981-01-01,1986-01-01,3,63,0.0476190476
25,3,10,"Luxembourg",1981-01-01,1986-01-01,2,63,0.0317460317
26,4,12,"France",1986-01-01,1995-01-01,10,76,0.1315789474
27,4,12,"Germany",1986-01-01,1995-01-01,10,76,0.1315789474
28,4,12,"Italy",1986-01-01,1995-01-01,10,76,0.1315789474
29,4,12,"United Kingdom",1986-01-01,1995-01-01,10,76,0.1315789474
30,4,12,"Spain",1986-01-01,1995-01-01,8,76,0.1052631579
31,4,12,"Belgium",1986-01-01,1995-01-01,5,76,0.0657894737
32,4,12,"Greece",1986-01-01,1995-01-01,5,76,0.0657894737
33,4,12,"Netherlands",1986-01-01,1995-01-01,5,76,0.0657894737
34,4,12,"Portugal",1986-01-01,1995-01-01,5,76,0.0657894737
35,4,12,"Denmark",1986-01-01,1995-01-01,3,76,0.0394736842
36,4,12,"Ireland",1986-01-01,1995-01-01,3,76,0.0394736842
37,4,12,"Luxembourg",1986-01-01,1995-01-01,2,76,0.0263157895
38,5,15,"France",1995-01-01,2003-02-01,10,87,0.1149425287
39,5,15,"Germany",1995-01-01,2003-02-01,10,87,0.1149425287
40,5,15,"Italy",1995-01-01,2003-02-01,10,87,0.1149425287
